datetime_utc,open,high,low,close,volume
2026-03-25 20:31:00+00:00,4523.2,4526.58,4523.2,4525.54,5.5581
2026-03-25 20:32:00+00:00,4525.54,4525.54,4523.56,4524.55,0.7703
2026-03-25 20:33:00+00:00,4524.21,4524.9,4524.21,4524.55,0.1003
2026-03-25 20:34:00+00:00,4524.45,4524.89,4523.0,4523.01,0.5185
2026-03-25 20:35:00+00:00,4523.16,4523.16,4522.52,4522.65,2.7267
2026-03-25 20:36:00+00:00,4522.59,4522.59,4519.12,4519.62,16.6242
2026-03-25 20:37:00+00:00,4519.28,4519.28,4513.3,4514.69,11.4725
2026-03-25 20:38:00+00:00,4514.69,4514.86,4507.93,4507.93,20.7224
2026-03-25 20:39:00+00:00,4507.9,4512.56,4507.9,4508.07,18.3433
2026-03-25 20:40:00+00:00,4508.06,4508.21,4502.29,4502.79,22.2789
2026-03-25 20:41:00+00:00,4502.8,4510.44,4500.4,4509.94,11.2451
2026-03-25 20:42:00+00:00,4509.94,4510.45,4505.86,4507.8,5.94
2026-03-25 20:43:00+00:00,4507.8,4511.29,4507.8,4511.29,1.733
2026-03-25 20:44:00+00:00,4511.28,4511.62,4509.59,4510.44,8.4496
2026-03-25 20:45:00+00:00,4510.27,4511.97,4510.11,4511.75,3.6665
2026-03-25 20:46:00+00:00,4511.75,4511.75,4508.06,4508.91,5.523
2026-03-25 20:47:00+00:00,4508.94,4510.55,4507.89,4510.55,2.8978
2026-03-25 20:48:00+00:00,4510.56,4511.11,4509.77,4509.93,2.2941
2026-03-25 20:49:00+00:00,4509.94,4509.94,4509.26,4509.76,9.7781
2026-03-25 20:50:00+00:00,4509.76,4510.94,4508.23,4508.57,3.1603
2026-03-25 20:51:00+00:00,4508.74,4511.28,4508.74,4511.28,1.315
2026-03-25 20:52:00+00:00,4511.04,4511.12,4509.43,4509.43,7.0025
2026-03-25 20:53:00+00:00,4509.43,4509.43,4507.0,4507.38,1.5162
2026-03-25 20:54:00+00:00,4507.51,4508.64,4506.7,4508.57,13.8821
2026-03-25 20:55:00+00:00,4508.74,4510.43,4507.9,4509.58,2.0871
2026-03-25 20:56:00+00:00,4510.39,4511.63,4509.93,4510.44,1.555
2026-03-25 20:57:00+00:00,4510.27,4510.27,4508.65,4509.75,9.1467
2026-03-25 20:58:00+00:00,4509.76,4511.28,4509.76,4510.78,0.0486
2026-03-25 20:59:00+00:00,4510.61,4511.2,4509.28,4510.78,1.7532
2026-03-25 21:00:00+00:00,4510.95,4510.95,4509.42,4509.43,1.3711
2026-03-25 21:01:00+00:00,4509.25,4509.25,4509.05,4509.05,1.2949
2026-03-25 21:02:00+00:00,4509.05,4509.05,4507.9,4507.9,1.4792
2026-03-25 21:03:00+00:00,4507.91,4510.78,4507.91,4508.75,8.3357
2026-03-25 21:04:00+00:00,4508.74,4509.07,4507.9,4507.91,14.3143
2026-03-25 21:05:00+00:00,4508.0,4508.6,4508.0,4508.6,0.6475
2026-03-25 21:06:00+00:00,4508.59,4509.42,4508.59,4509.42,1.0017
2026-03-25 21:07:00+00:00,4509.59,4514.0,4509.59,4513.84,6.0768
2026-03-25 21:08:00+00:00,4513.89,4515.9,4513.89,4514.02,2.1305
2026-03-25 21:09:00+00:00,4514.02,4514.02,4513.68,4513.68,0.3517
2026-03-25 21:10:00+00:00,4514.01,4514.86,4513.34,4513.34,2.146
2026-03-25 21:11:00+00:00,4513.34,4514.68,4513.34,4514.68,5.8233
2026-03-25 21:12:00+00:00,4514.68,4515.38,4514.68,4515.25,0.3349
2026-03-25 21:13:00+00:00,4515.25,4515.25,4513.5,4514.1,19.4915
2026-03-25 21:14:00+00:00,4514.1,4514.18,4513.34,4513.34,2.5559
2026-03-25 21:15:00+00:00,4513.34,4513.51,4513.34,4513.51,0.3514
2026-03-25 21:16:00+00:00,4513.51,4515.36,4513.5,4515.36,1.2452
2026-03-25 21:17:00+00:00,4515.36,4517.07,4515.36,4517.07,1.5478
2026-03-25 21:18:00+00:00,4517.23,4520.44,4517.23,4520.44,11.627
2026-03-25 21:19:00+00:00,4520.47,4521.56,4519.63,4521.16,21.5441
2026-03-25 21:20:00+00:00,4521.16,4522.85,4520.48,4522.85,15.892
2026-03-25 21:21:00+00:00,4522.9,4524.4,4522.35,4524.38,26.2712
2026-03-25 21:22:00+00:00,4524.38,4525.73,4522.69,4525.73,12.0813
2026-03-25 21:23:00+00:00,4525.23,4525.23,4520.82,4522.27,13.6668
2026-03-25 21:24:00+00:00,4521.83,4522.34,4520.81,4522.34,2.4366
2026-03-25 21:25:00+00:00,4522.5,4522.5,4521.66,4521.67,1.2398
2026-03-25 21:26:00+00:00,4521.67,4524.39,4521.67,4523.71,3.2758
2026-03-25 21:27:00+00:00,4523.7,4523.7,4523.02,4523.02,1.0675
2026-03-25 21:28:00+00:00,4523.02,4523.02,4522.85,4522.86,0.1013
2026-03-25 21:29:00+00:00,4522.85,4522.85,4521.5,4521.5,1.6517
2026-03-25 21:30:00+00:00,4521.5,4521.5,4519.11,4519.11,0.3688
2026-03-25 21:31:00+00:00,4518.95,4521.47,4518.81,4521.05,8.0421
2026-03-25 21:32:00+00:00,4520.74,4520.74,4520.7,4520.7,0.8322
2026-03-25 21:33:00+00:00,4520.66,4520.7,4520.47,4520.47,0.3837
2026-03-25 21:34:00+00:00,4520.3,4520.3,4519.46,4519.63,0.4219
2026-03-25 21:35:00+00:00,4519.63,4519.63,4518.43,4518.43,0.6627
2026-03-25 21:36:00+00:00,4518.31,4518.31,4517.83,4517.84,1.6743
2026-03-25 21:37:00+00:00,4517.84,4520.45,4517.84,4520.45,3.3975
2026-03-25 21:38:00+00:00,4520.22,4520.22,4520.21,4520.21,0.059
2026-03-25 21:39:00+00:00,4520.47,4520.81,4520.47,4520.81,0.7011
2026-03-25 21:40:00+00:00,4520.89,4522.99,4520.89,4521.81,5.8993
2026-03-25 21:41:00+00:00,4521.5,4521.5,4521.49,4521.49,0.0183
2026-03-25 21:42:00+00:00,4521.5,4523.84,4521.5,4523.18,1.8949
2026-03-25 21:43:00+00:00,4523.53,4523.86,4523.09,4523.68,5.5472
2026-03-25 21:44:00+00:00,4523.19,4523.38,4523.19,4523.38,0.2272
2026-03-25 21:45:00+00:00,4523.53,4523.53,4522.67,4522.83,0.2004
2026-03-25 21:46:00+00:00,4522.82,4522.82,4521.54,4521.54,1.8863
2026-03-25 21:47:00+00:00,4521.54,4521.54,4520.65,4520.79,4.1976
2026-03-25 21:48:00+00:00,4520.64,4520.65,4520.47,4520.47,0.3047
2026-03-25 21:49:00+00:00,4520.32,4521.04,4520.32,4521.04,0.1871
2026-03-25 21:50:00+00:00,4521.04,4521.04,4521.0,4521.0,0.0155
2026-03-25 21:51:00+00:00,4521.0,4521.0,4521.0,4521.0,0.0035
2026-03-25 21:52:00+00:00,4520.99,4521.0,4520.99,4521.0,0.0135
2026-03-25 21:53:00+00:00,4520.99,4521.0,4520.99,4521.0,0.3709
2026-03-25 21:54:00+00:00,4521.0,4521.0,4520.99,4521.0,0.0195
